SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,Discount,SalesChannel,PaymentMethod
1,1,1,2024-01-01,2,50.00,100.00,0.00,Online,Credit Card
2,2,2,2024-01-02,1,75.00,75.00,5.00,Retail,Cash
3,3,3,2024-01-03,3,20.00,60.00,0.00,Online,PayPal
4,4,4,2024-01-04,4,30.00,120.00,10.00,Online,Credit Card
5,5,5,2024-01-05,1,100.00,100.00,15.00,Retail,Debit Card
6,6,6,2024-01-06,2,150.00,300.00,20.00,Online,Credit Card
7,7,7,2024-01-07,3,80.00,240.00,5.00,Retail,Cash
8,8,8,2024-01-08,4,45.00,180.00,0.00,Online,PayPal
9,9,9,2024-01-09,5,60.00,300.00,10.00,Online,Credit Card
10,10,10,2024-01-10,1,200.00,200.00,25.00,Retail,Debit Card
11,11,11,2024-01-11,2,90.00,180.00,15.00,Online,Credit Card
12,12,12,2024-01-12,3,120.00,360.00,20.00,Retail,Cash
13,13,13,2024-01-13,4,110.00,440.00,0.00,Online,PayPal
14,14,14,2024-01-14,5,70.00,350.00,10.00,Retail,Credit Card
15,15,15,2024-01-15,1,130.00,130.00,15.00,Online,Debit Card
16,16,16,2024-01-16,2,50.00,100.00,5.00,Retail,Cash
17,17,17,2024-01-17,3,140.00,420.00,20.00,Online,Credit Card
18,18,18,2024-01-18,4,100.00,400.00,25.00,Retail,Debit Card
19,19,19,2024-01-19,5,150.00,750.00,10.00,Online,PayPal
20,20,20,2024-01-20,1,200.00,200.00,0.00,Retail,Credit Card
21,21,21,2024-01-21,2,50.00,100.00,0.00,Online,Credit Card
22,22,22,2024-01-22,1,75.00,75.00,5.00,Retail,Cash
23,23,23,2024-01-23,3,20.00,60.00,0.00,Online,PayPal
24,24,24,2024-01-24,4,30.00,120.00,10.00,Online,Credit Card
25,25,25,2024-01-25,1,100.00,100.00,15.00,Retail,Debit Card
26,26,26,2024-01-26,2,150.00,300.00,20.00,Online,Credit Card
27,27,27,2024-01-27,3,80.00,240.00,5.00,Retail,Cash
28,28,28,2024-01-28,4,45.00,180.00,0.00,Online,PayPal
29,29,29,2024-01-29,5,60.00,300.00,10.00,Online,Credit Card
30,30,30,2024-01-30,1,200.00,200.00,25.00,Retail,Debit Card
31,31,31,2024-01-31,2,90.00,180.00,15.00,Online,Credit Card
32,32,32,2024-02-01,3,120.00,360.00,20.00,Retail,Cash
33,33,33,2024-02-02,4,110.00,440.00,0.00,Online,PayPal
34,34,34,2024-02-03,5,70.00,350.00,10.00,Retail,Credit Card
35,35,35,2024-02-04,1,130.00,130.00,15.00,Online,Debit Card
36,36,36,2024-02-05,2,50.00,100.00,5.00,Retail,Cash
37,37,37,2024-02-06,3,140.00,420.00,20.00,Online,Credit Card
38,38,38,2024-02-07,4,100.00,400.00,25.00,Retail,Debit Card
39,39,39,2024-02-08,5,150.00,750.00,10.00,Online,PayPal
40,40,40,2024-02-09,1,200.00,200.00,0.00,Retail,Credit Card
41,41,41,2024-02-10,2,20.00,40.00,0.00,Online,Credit Card
